month,region,medicine,previous_demand,current_stock,demand
1,Tetovo,Paracetamol,900,300,980
2,Tetovo,Paracetamol,980,280,1050
3,Tetovo,Paracetamol,1050,260,1120
4,Tetovo,Paracetamol,1120,240,1250
1,Skopje,Paracetamol,1200,500,1300
2,Skopje,Paracetamol,1300,470,1380
3,Skopje,Paracetamol,1380,450,1450
4,Skopje,Paracetamol,1450,420,1580
1,Tetovo,Amoxicillin,600,200,650
2,Tetovo,Amoxicillin,650,190,700
3,Tetovo,Amoxicillin,700,180,760
4,Tetovo,Amoxicillin,760,170,820
1,Skopje,Amoxicillin,800,300,850
2,Skopje,Amoxicillin,850,290,900
3,Skopje,Amoxicillin,900,270,970
4,Skopje,Amoxicillin,970,250,1050
1,Tetovo,Ibuprofen,500,150,560
2,Tetovo,Ibuprofen,560,140,620
3,Tetovo,Ibuprofen,620,130,690
4,Tetovo,Ibuprofen,690,120,760
1,Skopje,Ibuprofen,700,240,760
2,Skopje,Ibuprofen,760,220,830
3,Skopje,Ibuprofen,830,210,900
4,Skopje,Ibuprofen,900,190,980
